,Year,Group,Ceremony,Award,Winner,Name,Film
0,1927/1928,gr1,1,Actor,,Richard Barthelmess,The Noose
1,1927/1928,gr2,1,Actor,1.0,Emil Jannings,The Last Command
2,1927/1928,gr1,1,Actress,,Louise Dresser,A Ship Comes In
3,1927/1928,gr2,1,Actress,1.0,Janet Gaynor,7th Heaven
4,1927/1928,gr1,1,Actress,,Gloria Swanson,Sadie Thompson
5,1927/1928,gr2,1,Art Direction,,Rochus Gliese,Sunrise
6,1927/1928,gr1,1,Art Direction,1.0,William Cameron Menzies,The Dove; Tempest
7,1927/1928,gr2,1,Art Direction,,Harry Oliver,7th Heaven
8,1927/1928,gr1,1,Cinematography,,George Barnes,The Devil Dancer; The Magic Flame; Sadie Thompson
9,1927/1928,gr2,1,Cinematography,1.0,Charles Rosher,Sunrise
